question,correct,incorrect
"What is the sentiment of the following sentence? unpretentious, charming, quirky, original",positive,negative
What is the sentiment of the following sentence? Very well-written and very well-acted.,positive,negative
What is the sentiment of the following sentence? Disney again ransacks its archives for a quick-buck sequel.,negative,positive
What is the sentiment of the following sentence? Elvira fans could hardly ask for more.,positive,negative
What is the sentiment of the following sentence? An extremely unpleasant film.,negative,positive
What is the sentiment of the following sentence? Amazingly lame.,negative,positive
What is the sentiment of the following sentence? This comic gem is as delightful as it is derivative.,positive,negative
What is the sentiment of the following sentence? Tedious Norwegian offering which somehow snagged an Oscar nomination.,negative,positive
What is the sentiment of the following sentence? Intelligent and moving.,positive,negative
"What is the sentiment of the following sentence? Exhilarating, funny and fun.",positive,negative
What is the sentiment of the following sentence? Feeble comedy.,negative,positive
What is the sentiment of the following sentence? Excruciatingly unfunny and pitifully unromantic.,negative,positive
What is the sentiment of the following sentence? Another entertaining romp from Robert Rodriguez.,positive,negative
What is the sentiment of the following sentence? A party-hearty teen flick that scalds like acid.,negative,positive
What is the sentiment of the following sentence? This may be Burns's strongest film since The Brothers McMullen.,positive,negative
What is the sentiment of the following sentence? Morton deserves an Oscar nomination.,positive,negative
"What is the sentiment of the following sentence? A meditation on faith and madness, Frailty is blood-curdling stuff.",positive,negative
What is the sentiment of the following sentence? This thing is virtually unwatchable.,negative,positive
What is the sentiment of the following sentence? K-19: The Widowmaker is a great yarn.,positive,negative
What is the sentiment of the following sentence? An enjoyable experience.,positive,negative
What is the sentiment of the following sentence? The satire is just too easy to be genuinely satisfying.,negative,positive
What is the sentiment of the following sentence? Heavy with flabby rolls of typical Toback machinations.,negative,positive
What is the sentiment of the following sentence? Another Best of the Year selection.,positive,negative
"What is the sentiment of the following sentence? Muddled, simplistic and more than a little pretentious.",negative,positive
"What is the sentiment of the following sentence? Everything's serious, poetic, earnest and -- sadly -- dull.",negative,positive
What is the sentiment of the following sentence? Comes across as a fairly weak retooling.,negative,positive
What is the sentiment of the following sentence? Just isn't as weird as it ought to be.,negative,positive
What is the sentiment of the following sentence? Humor in I Spy is so anemic.,negative,positive
"What is the sentiment of the following sentence? Violent, vulgar and forgettably entertaining.",negative,positive
"What is the sentiment of the following sentence? Plodding, peevish and gimmicky.",negative,positive
What is the sentiment of the following sentence? A rote exercise in both animation and storytelling.,negative,positive
What is the sentiment of the following sentence? Little more than a well-mounted history lesson.,negative,positive
What is the sentiment of the following sentence? Much of the cast is stiff or just plain bad.,negative,positive
"What is the sentiment of the following sentence? It is a likable story, told with competence.",positive,negative
What is the sentiment of the following sentence? Originality is sorely lacking.,negative,positive
"What is the sentiment of the following sentence? Satisfyingly scarifying, fresh and old-fashioned at the same time.",positive,negative
What is the sentiment of the following sentence? A non-mystery mystery.,negative,positive
What is the sentiment of the following sentence? Arguably the best script that Besson has written in years.,positive,negative
What is the sentiment of the following sentence? Witless and utterly pointless.,negative,positive
What is the sentiment of the following sentence? The cast delivers without sham the raw-nerved story.,positive,negative
"What is the sentiment of the following sentence? entertaining enough, but nothing new",negative,positive
What is the sentiment of the following sentence? We get the comedy we settle for.,negative,positive
What is the sentiment of the following sentence? ...silly humbuggery...,negative,positive
What is the sentiment of the following sentence? Too daft by half ... but supremely good natured.,positive,negative
What is the sentiment of the following sentence? Spiderman ROCKS,positive,negative
"What is the sentiment of the following sentence? The title, alone, should scare any sane person away.",negative,positive
What is the sentiment of the following sentence? The verdict: Two bodies and hardly a laugh between them.,negative,positive
"What is the sentiment of the following sentence? By its modest, straight-ahead standards, Undisputed scores a direct hit.",positive,negative
What is the sentiment of the following sentence? Highly engaging.,positive,negative
What is the sentiment of the following sentence? Video games are more involving than this mess.,negative,positive
