seed,wb_run_group,test_accuracy,test_accuracy_flipped,deployed_accuracy,deployed_accuracy_flipped,intervention,dataset_a,dataset_b,ablated_dataset,pair
0,verbs_sentiment_1,0.0572916679084301,0.9427083730697632,0.0572916679084301,0.9427083730697632,base,verbs,sentiment,verbs,"('verbs', 'sentiment')"
0,verbs_sentiment_1,0.1979166716337204,0.8020833730697632,0.1927083432674408,0.8072916865348816,interpreted,verbs,sentiment,verbs,"('verbs', 'sentiment')"
0,verbs_sentiment_1,0.125,0.875,0.1354166716337204,0.8645833730697632,random,verbs,sentiment,verbs,"('verbs', 'sentiment')"
0,verbs_sentiment_1,0.4479166865348816,0.5520833730697632,0.4791666865348816,0.5104166865348816,top,verbs,sentiment,verbs,"('verbs', 'sentiment')"
0,sports_pronouns_0,0.177840918302536,0.8221591114997864,0.177840918302536,0.8221591114997864,base,sports,pronouns,pronouns,"('sports', 'pronouns')"
0,sports_pronouns_0,0.4778409004211426,0.5221590995788574,0.573863685131073,0.4261363446712494,interpreted,sports,pronouns,pronouns,"('sports', 'pronouns')"
0,sports_pronouns_0,0.2426136583089828,0.7573863863945007,0.2863636612892151,0.7136363983154297,random,sports,pronouns,pronouns,"('sports', 'pronouns')"
0,pronouns_sports_0,0.0897727236151695,0.9102272987365724,0.0897727236151695,0.9102272987365724,base,pronouns,sports,sports,"('pronouns', 'sports')"
0,sports_pronouns_0,0.0,1.0,0.1397727280855178,0.1460227221250534,top,sports,pronouns,pronouns,"('sports', 'pronouns')"
0,pronouns_sports_0,1.0,0.0,0.0931818187236786,0.2568182051181793,interpreted,pronouns,sports,sports,"('pronouns', 'sports')"
0,pronouns_sports_0,1.0,0.0,0.1517045497894287,0.8017045855522156,random,pronouns,sports,sports,"('pronouns', 'sports')"
0,sentiment_verbs_1,0.859375,0.140625,0.8541666865348816,0.1458333432674408,base,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
0,pronouns_sports_0,1.0,0.0,0.0528409145772457,0.1301136463880539,top,pronouns,sports,sports,"('pronouns', 'sports')"
0,sentiment_verbs_1,0.020833333954215,0.9791666865348816,0.296875,0.703125,interpreted,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
0,sentiment_verbs_1,0.9270833730697632,0.0729166716337204,0.828125,0.171875,random,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
0,sentiment_verbs_1,0.5729166865348816,0.4270833432674408,0.578125,0.421875,top,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
0,sentiment_sports_0,0.0,1.0,0.0,1.0,base,sentiment,sports,sports,"('sentiment', 'sports')"
0,sentiment_sports_0,0.0874999985098838,0.912500023841858,0.4437499940395355,0.5255681872367859,interpreted,sentiment,sports,sports,"('sentiment', 'sports')"
0,sentiment_sports_0,0.0125000001862645,0.987500011920929,0.1301136463880539,0.4761363565921783,random,sentiment,sports,sports,"('sentiment', 'sports')"
0,verbs_sports_0,0.018750000745058,0.981249988079071,0.018750000745058,0.981249988079071,base,verbs,sports,sports,"('verbs', 'sports')"
0,sentiment_sports_0,0.5034090876579285,0.4965909123420715,0.4250000119209289,0.4818181991577149,top,sentiment,sports,sports,"('sentiment', 'sports')"
0,verbs_sports_0,0.8011364340782166,0.1988636404275894,0.293181836605072,0.7068182229995728,interpreted,verbs,sports,sports,"('verbs', 'sports')"
0,verbs_sports_0,0.0125000001862645,0.987500011920929,0.018750000745058,0.981249988079071,random,verbs,sports,sports,"('verbs', 'sports')"
0,sentiment_pronouns_0,0.0,1.0,0.0,1.0,base,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
0,sentiment_pronouns_0,0.0,1.0,0.0260416679084301,0.9739583730697632,interpreted,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
0,verbs_sports_0,0.7420454621315002,0.2579545676708221,0.305681824684143,0.5670454502105713,top,verbs,sports,sports,"('verbs', 'sports')"
