dataset_a,dataset_b,intervention,ablated_dataset,train_accuracy,val_accuracy,val_intervention_accuracy,test_accuracy,test_accuracy_flipped,test_intervention_accuracy,test_intervention_accuracy_flipped,seed,dataset_pair,sorted_pair,pair
verbs,pronouns,sae ablation,pronouns,1.0,0.8947368264198303,1.0,0.1074561476707458,0.8925439119338989,0.0,1.0,42,"(hc-mats/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,sae ablation,pronouns,1.0,0.8980263471603394,1.0,0.1524122953414917,0.8475877642631531,0.0,1.0,1,"(hc-mats/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,sae ablation,pronouns,1.0,0.921052634716034,1.0,0.0767543911933898,0.9232456684112548,0.0,1.0,2,"(hc-mats/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,sae ablation,pronouns,1.0,0.9276315569877625,1.0,0.0723684206604957,0.9276315569877625,0.0,1.0,3,"(hc-mats/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,sae ablation,pronouns,1.0,0.9199562072753906,1.0,0.0800438597798347,0.9199562072753906,0.0,1.0,4,"(hc-mats/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
pronouns,verbs,sae ablation,pronouns,1.0,0.7916666865348816,1.0,0.6885965466499329,0.3114035129547119,1.0,0.0,42,"(pronouns, hc-mats/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,sae ablation,pronouns,1.0,0.7642544507980347,1.0,0.6381579041481018,0.3618420958518982,0.9967105388641356,0.003289473708719,1,"(pronouns, hc-mats/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,sae ablation,pronouns,1.0,0.7280701994895935,1.0,0.6217105388641357,0.3782894909381866,1.0,0.0,2,"(pronouns, hc-mats/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,sae ablation,pronouns,1.0,0.8157894611358643,1.0,0.6677631735801697,0.3322368562221527,1.0,0.0,3,"(pronouns, hc-mats/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,sae ablation,pronouns,1.0,0.7916666865348816,1.0,0.7280701994895935,0.2719298303127289,1.0,0.0,4,"(pronouns, hc-mats/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
verbs,sentiment,sae ablation,verbs,1.0,0.9772727489471436,0.9659091234207152,0.0795454531908035,0.9204545617103576,0.0625,0.9375,42,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,sentiment,1.0,0.994318187236786,1.0,0.9772727489471436,0.0227272734045982,1.0,0.0,42,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,verbs,1.0,0.9602273106575012,0.9602273106575012,0.0852272734045982,0.9147727489471436,0.1022727340459823,0.8977273106575012,1,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,sentiment,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,verbs,1.0,0.9699676036834716,0.9772727489471436,0.0852272734045982,0.9147727489471436,0.1079545468091964,0.8920454978942871,2,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,sentiment,1.0,0.994318187236786,0.994318187236786,1.0,0.0,1.0,0.0,2,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,verbs,1.0,0.9537338018417358,0.9715909361839294,0.0965909138321876,0.9034091234207152,0.1079545468091964,0.8920454978942871,3,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
