seed,test_accuracy,test_accuracy_flipped,deployed_accuracy,deployed_accuracy_flipped,intervention,dataset_a,dataset_b,ablated_dataset,pair
0,0.0,1.0,0.0,1.0,autointerp,sports,pronouns,pronouns,"('sports', 'pronouns')"
0,1.0,0.0,1.0,0.0,autointerp,pronouns,sports,sports,"('pronouns', 'sports')"
0,0.0,1.0,0.0104166669771075,0.9895833730697632,autointerp,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
0,0.6267045736312866,0.3732954561710357,0.3795454502105713,0.6204545497894287,autointerp,sentiment,sports,sports,"('sentiment', 'sports')"
0,1.0,0.0,0.9937500357627868,0.0062500000931322,autointerp,verbs,sports,sports,"('verbs', 'sports')"
0,0.0,1.0,0.0104166669771075,0.9895833730697632,autointerp,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
0,0.0,1.0,0.2416666746139526,0.7583333849906921,autointerp,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
1,0.0,1.0,0.0125000001862645,0.987500011920929,autointerp,sports,pronouns,pronouns,"('sports', 'pronouns')"
1,1.0,0.0,0.9625000357627868,0.0375000014901161,autointerp,pronouns,sports,sports,"('pronouns', 'sports')"
1,0.0,1.0,0.0052083334885537,0.9947916865348816,autointerp,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
1,0.6454545855522156,0.3545454442501068,0.4318182170391083,0.5681818127632141,autointerp,sentiment,sports,sports,"('sentiment', 'sports')"
1,1.0,0.0,0.9221591353416444,0.0778409168124198,autointerp,verbs,sports,sports,"('verbs', 'sports')"
1,0.0,1.0,0.020833333954215,0.9791666865348816,autointerp,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
1,0.0,1.0,0.186458334326744,0.8135417103767395,autointerp,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
2,0.0,1.0,0.0,1.0,autointerp,sports,pronouns,pronouns,"('sports', 'pronouns')"
2,1.0,0.0,0.9625000357627868,0.0375000014901161,autointerp,pronouns,sports,sports,"('pronouns', 'sports')"
2,0.0,1.0,0.0260416679084301,0.9739583730697632,autointerp,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
2,0.543749988079071,0.4562500119209289,0.2511363625526428,0.7488636374473572,autointerp,sentiment,sports,sports,"('sentiment', 'sports')"
2,0.9937500357627868,0.0062500000931322,0.9386364221572876,0.0613636374473571,autointerp,verbs,sports,sports,"('verbs', 'sports')"
2,0.0104166669771075,0.9895833730697632,0.0416666679084301,0.9583333730697632,autointerp,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
2,0.0,1.0,0.1447916775941848,0.8552083969116211,autointerp,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
3,0.0,1.0,0.0,1.0,autointerp,sports,pronouns,pronouns,"('sports', 'pronouns')"
3,1.0,0.0,1.0,0.0,autointerp,pronouns,sports,sports,"('pronouns', 'sports')"
3,0.0,1.0,0.03125,0.96875,autointerp,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
3,0.6113636493682861,0.3886363506317138,0.2511363625526428,0.7488636374473572,autointerp,sentiment,sports,sports,"('sentiment', 'sports')"
3,1.0,0.0,0.9136363863945008,0.086363635957241,autointerp,verbs,sports,sports,"('verbs', 'sports')"
3,0.0260416679084301,0.9739583730697632,0.046875,0.953125,autointerp,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
3,0.0,1.0,0.2010416835546493,0.7989583611488342,autointerp,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
4,0.0,1.0,0.0,1.0,autointerp,sports,pronouns,pronouns,"('sports', 'pronouns')"
4,1.0,0.0,1.0,0.0,autointerp,pronouns,sports,sports,"('pronouns', 'sports')"
4,0.0,1.0,0.0104166669771075,0.9895833730697632,autointerp,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
4,0.5801136493682861,0.4198863506317138,0.3005681931972503,0.699431836605072,autointerp,sentiment,sports,sports,"('sentiment', 'sports')"
4,1.0,0.0,0.975000023841858,0.025000000372529,autointerp,verbs,sports,sports,"('verbs', 'sports')"
4,0.0052083334885537,0.9947916865348816,0.0104166669771075,0.9895833730697632,autointerp,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
4,0.0,1.0,0.2322916835546493,0.7677083611488342,autointerp,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
0,0.0,0.0,0.0,0.0,autointerp,verbs,sentiment,verbs,"('verbs', 'sentiment')"
1,0.0,0.0,0.0,0.0,autointerp,verbs,sentiment,verbs,"('verbs', 'sentiment')"
2,0.0,0.0,0.0,0.0,autointerp,verbs,sentiment,verbs,"('verbs', 'sentiment')"
3,0.0,0.0,0.0,0.0,autointerp,verbs,sentiment,verbs,"('verbs', 'sentiment')"
4,0.0,0.0,0.0,0.0,autointerp,verbs,sentiment,verbs,"('verbs', 'sentiment')"
