dataset_a,dataset_b,intervention,random,ablated_dataset,train_accuracy,val_accuracy,val_intervention_accuracy,test_accuracy,test_accuracy_flipped,test_intervention_accuracy,test_intervention_accuracy_flipped,seed,dataset_pair,sorted_pair,pair
verbs,pronouns,sae ablation,True,pronouns,1.0,0.7313596606254578,1.0,0.2401315867900848,0.7598684430122375,0.0,1.0,0,"([XXX]/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,sae ablation,True,pronouns,1.0,0.7796052694320679,1.0,0.2313596606254577,0.768640398979187,0.0,1.0,1,"([XXX]/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,sae ablation,True,pronouns,1.0,0.7335526347160339,1.0,0.25,0.75,0.0,1.0,2,"([XXX]/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,sae ablation,True,pronouns,1.0,0.8475877642631531,1.0,0.1293859779834747,0.8706141114234924,0.0,1.0,3,"([XXX]/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,sae ablation,True,pronouns,1.0,0.5416666865348816,1.0,0.4758772253990173,0.5241228342056274,0.0,1.0,4,"([XXX]/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
pronouns,verbs,sae ablation,True,pronouns,1.0,0.6359649300575256,1.0,0.4583333730697632,0.5416666865348816,0.9967105388641356,0.003289473708719,0,"(pronouns, [XXX]/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,sae ablation,True,pronouns,1.0,0.6644737124443054,1.0,0.5570175647735596,0.4429824650287628,1.0,0.0,1,"(pronouns, [XXX]/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,sae ablation,True,pronouns,1.0,0.5657894611358643,1.0,0.4747807383537293,0.518640398979187,1.0,0.0,2,"(pronouns, [XXX]/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,sae ablation,True,pronouns,1.0,0.5076754689216614,1.0,0.4791666865348816,0.5208333730697632,1.0,0.0,3,"(pronouns, [XXX]/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,sae ablation,True,pronouns,1.0,0.5142544507980347,1.0,0.5021929740905762,0.4978070557117462,1.0,0.0,4,"(pronouns, [XXX]/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
verbs,sentiment,sae ablation,True,verbs,1.0,0.95941561460495,0.970779299736023,0.1136363670229911,0.886363685131073,0.125,0.875,0,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,True,sentiment,1.0,0.970779299736023,0.9659091234207152,0.2159090936183929,0.7840909361839294,0.3863636553287506,0.6136363744735718,0,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,True,verbs,1.0,0.9602273106575012,0.9772727489471436,0.1534090936183929,0.8465909361839294,0.2443181872367859,0.7556818127632141,1,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,True,sentiment,0.875,0.5917207598686218,0.6282467842102051,0.4772727489471435,0.5227273106575012,0.5113636255264282,0.4886363744735718,1,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,True,verbs,1.0,0.9829545617103576,0.970779299736023,0.0795454531908035,0.9204545617103576,0.0681818202137947,0.931818187236786,2,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,True,sentiment,1.0,1.0,1.0,0.9772727489471436,0.0227272734045982,1.0,0.0,2,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,True,verbs,1.0,0.9537338018417358,0.965097427368164,0.1363636404275894,0.8636363744735718,0.1136363670229911,0.886363685131073,3,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,True,sentiment,0.9375,0.9602273106575012,0.9537338018417358,0.1079545468091964,0.8920454978942871,0.1022727340459823,0.8977273106575012,3,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,True,verbs,1.0,0.9586039781570436,0.970779299736023,0.25,0.75,0.1931818276643753,0.8068181872367859,4,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,True,sentiment,0.875,0.9423701763153076,0.9423701763153076,0.0738636404275894,0.9261363744735718,0.0909090936183929,0.9090909361839294,4,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
sentiment,verbs,sae ablation,True,verbs,1.0,0.8506494164466858,0.948863685131073,0.2727272808551788,0.7272727489471436,0.0454545468091964,0.9545454978942872,0,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,True,sentiment,1.0,0.9715909361839294,0.9659091234207152,0.8522727489471436,0.1477272808551788,0.8920454978942871,0.1079545468091964,0,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,True,verbs,1.0,0.965097427368164,0.9764611124992372,0.875,0.125,0.886363685131073,0.1136363670229911,1,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,True,sentiment,1.0,0.9772727489471436,1.0,0.5795454978942871,0.4204545617103576,0.5170454978942871,0.4829545617103576,1,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,True,verbs,1.0,0.9715909361839294,0.994318187236786,0.4943181872367859,0.5056818127632141,0.4545454680919647,0.5454545617103577,2,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,True,sentiment,1.0,0.9310065507888794,0.9659091234207152,0.7556818127632141,0.2443181872367859,0.823863685131073,0.1761363744735717,2,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,True,verbs,1.0,0.9829545617103576,0.994318187236786,0.6647727489471436,0.3352272808551788,0.3636363744735718,0.6363636255264282,3,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,True,sentiment,1.0,0.970779299736023,1.0,0.0397727265954017,0.9602273106575012,0.0056818183511495,0.994318187236786,3,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,True,verbs,1.0,0.965097427368164,1.0,0.6363636255264282,0.3636363744735718,0.3977272808551788,0.6022727489471436,4,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,True,sentiment,1.0,0.994318187236786,1.0,0.5625,0.4375,0.3522727489471435,0.6477273106575012,4,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
verbs,sports,sae ablation,True,sports,1.0,0.987500011920929,0.975000023841858,0.025000000372529,0.96875,0.0687500014901161,0.9312500357627868,0,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
verbs,sports,sae ablation,True,sports,1.0,0.9937500357627868,0.9937500357627868,0.0125000001862645,0.987500011920929,0.0062500000931322,0.9937500357627868,1,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
verbs,sports,sae ablation,True,sports,1.0,0.9937500357627868,0.9937500357627868,0.0354166701436042,0.9645833969116212,0.025000000372529,0.975000023841858,2,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
verbs,sports,sae ablation,True,sports,1.0,0.9937500357627868,0.970833420753479,0.0,1.0,0.0,1.0,3,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
verbs,sports,sae ablation,True,sports,1.0,0.96875,0.975000023841858,0.0375000014901161,0.9625000357627868,0.0437499992549419,0.956250011920929,4,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
sports,verbs,sae ablation,True,sports,1.0,0.908333420753479,0.95208340883255,0.5375000238418579,0.4625000059604645,0.254166692495346,0.7458333373069763,0,"([XXX]/sports-gemma-2-2b-top-1000, [XXX]/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
sports,verbs,sae ablation,True,sports,1.0,0.987500011920929,0.9937500357627868,0.956250011920929,0.0437499992549419,0.975000023841858,0.025000000372529,1,"([XXX]/sports-gemma-2-2b-top-1000, [XXX]/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
sports,verbs,sae ablation,True,sports,1.0,1.0,1.0,0.981249988079071,0.018750000745058,0.96875,0.03125,2,"([XXX]/sports-gemma-2-2b-top-1000, [XXX]/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
sports,verbs,sae ablation,True,sports,1.0,0.9937500357627868,0.981249988079071,0.975000023841858,0.025000000372529,0.6729167103767395,0.3270833492279053,3,"([XXX]/sports-gemma-2-2b-top-1000, [XXX]/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
sports,verbs,sae ablation,True,sports,1.0,0.9937500357627868,0.9937500357627868,0.987500011920929,0.0125000001862645,0.9937500357627868,0.0062500000931322,4,"([XXX]/sports-gemma-2-2b-top-1000, [XXX]/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
pronouns,sentiment,sae ablation,True,pronouns,1.0,0.9886363744735718,1.0,0.9772727489471436,0.0227272734045982,1.0,0.0,0,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
pronouns,sentiment,sae ablation,True,pronouns,1.0,0.8060065507888794,1.0,0.6534091234207153,0.346590906381607,1.0,0.0,1,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
pronouns,sentiment,sae ablation,True,pronouns,1.0,0.6444805264472961,1.0,0.5909091234207153,0.3920454680919647,1.0,0.0,2,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
pronouns,sentiment,sae ablation,True,pronouns,1.0,0.6704545617103577,1.0,0.5852273106575012,0.4147727489471435,1.0,0.0,3,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
pronouns,sentiment,sae ablation,True,pronouns,1.0,0.9829545617103576,1.0,0.9375,0.0625,1.0,0.0,4,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
sentiment,pronouns,sae ablation,True,pronouns,1.0,0.9366883635520936,1.0,0.1534090936183929,0.8465909361839294,0.0,1.0,0,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
sentiment,pronouns,sae ablation,True,pronouns,1.0,0.8027597069740295,1.0,0.3238636553287506,0.6761363744735718,0.0,1.0,1,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
sentiment,pronouns,sae ablation,True,pronouns,1.0,0.994318187236786,1.0,0.0227272734045982,0.9772727489471436,0.0,1.0,2,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
sentiment,pronouns,sae ablation,True,pronouns,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
sentiment,pronouns,sae ablation,True,pronouns,1.0,0.994318187236786,1.0,0.0340909101068973,0.9659091234207152,0.0,1.0,4,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
pronouns,sports,sae ablation,True,sports,1.0,0.96875,0.987500011920929,0.208333358168602,0.7916666865348816,0.1541666835546493,0.845833420753479,0,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,True,pronouns,1.0,0.0,1.0,0.0,0.0062500000931322,1.0,0.0,0,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,True,pronouns,1.0,0.9937500357627868,1.0,0.0437499992549419,0.956250011920929,0.1229166761040687,0.877083420753479,1,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
