pair,seed,test_accuracy,test_accuracy_flipped,train_accuracy,no_interventions_accuracy,no_interventions_accuracy_flipped,intervention,dataset_a,dataset_b,ablated_dataset
sports_pronouns_0_s0_intervention,0,0.46875,0.53125,1.0,0.5926136374473572,,none,sports,pronouns,pronouns
pronouns_sports_0_s0_intervention,0,1.0,0.0,1.0,0.0653409138321876,,none,pronouns,sports,sports
sentiment_sports_0_s0_intervention,0,0.1215909123420715,0.8784090876579285,1.0,0.4124999940395355,,none,sentiment,sports,sports
verbs_sports_0_s0_intervention,0,0.7954545617103577,0.2045454531908035,0.9166666865348816,0.2806818187236786,,none,verbs,sports,sports
sentiment_pronouns_0_s0_intervention,0,0.0052083334885537,0.9947916865348816,1.0,0.0364583358168602,,none,sentiment,pronouns,pronouns
verbs_pronouns_0_s0_intervention,0,0.0,1.0,1.0,0.0,,none,verbs,pronouns,pronouns
sports_pronouns_0_s1_intervention,1,0.40625,0.59375,1.0,0.5301136374473572,,none,sports,pronouns,pronouns
pronouns_sports_0_s1_intervention,1,0.9937500357627868,0.0062500000931322,1.0,0.0778409168124198,,none,pronouns,sports,sports
sentiment_sports_0_s1_intervention,1,0.1340909153223037,0.8659090995788574,1.0,0.4664773046970367,,none,sentiment,sports,sports
verbs_sports_0_s1_intervention,1,0.6977273225784302,0.3022727370262146,0.6666666865348816,0.3329545557498932,,none,verbs,sports,sports
sentiment_pronouns_0_s1_intervention,1,0.0,1.0,1.0,0.0364583358168602,,none,sentiment,pronouns,pronouns
verbs_pronouns_0_s1_intervention,1,0.0,1.0,1.0,0.0,,none,verbs,pronouns,pronouns
sports_pronouns_0_s2_intervention,2,0.1988636404275894,0.8011364340782166,1.0,0.3261363506317138,,none,sports,pronouns,pronouns
pronouns_sports_0_s2_intervention,2,0.9937500357627868,0.0062500000931322,1.0,0.0681818202137947,,none,pronouns,sports,sports
sentiment_sports_0_s2_intervention,2,0.1738636344671249,0.8261364102363586,1.0,0.4846591055393219,,none,sentiment,sports,sports
verbs_sports_0_s2_intervention,2,0.6914772987365723,0.3085227310657501,0.6666666865348816,0.3329545557498932,,none,verbs,sports,sports
sentiment_pronouns_0_s2_intervention,2,0.0,1.0,1.0,0.0989583358168602,,none,sentiment,pronouns,pronouns
verbs_pronouns_0_s2_intervention,2,0.0,1.0,1.0,0.0,,none,verbs,pronouns,pronouns
sports_pronouns_0_s3_intervention,3,0.1954545527696609,0.8045454025268555,1.0,0.3386363685131073,,none,sports,pronouns,pronouns
pronouns_sports_0_s3_intervention,3,1.0,0.0,1.0,0.1619318276643753,,none,pronouns,sports,sports
sentiment_sports_0_s3_intervention,3,0.0340909101068973,0.9659091234207152,1.0,0.4005682170391083,,none,sentiment,sports,sports
verbs_sports_0_s3_intervention,3,0.7551136612892151,0.2448863536119461,0.6666666865348816,0.3323863446712494,,none,verbs,sports,sports
sentiment_pronouns_0_s3_intervention,3,0.0,1.0,1.0,0.1510416716337204,,none,sentiment,pronouns,pronouns
verbs_pronouns_0_s3_intervention,3,0.0,1.0,1.0,0.0,,none,verbs,pronouns,pronouns
sports_pronouns_0_s4_intervention,4,0.3159091174602508,0.6840909123420715,1.0,0.4465909004211426,,none,sports,pronouns,pronouns
pronouns_sports_0_s4_intervention,4,1.0,0.0,1.0,0.2392045557498932,,none,pronouns,sports,sports
sentiment_sports_0_s4_intervention,4,0.0812500044703483,0.918749988079071,1.0,0.5034090876579285,,none,sentiment,sports,sports
verbs_sports_0_s4_intervention,4,0.7579545378684998,0.242045447230339,0.9166666865348816,0.3170454502105713,,none,verbs,sports,sports
sentiment_pronouns_0_s4_intervention,4,0.0,1.0,1.0,0.0677083358168602,,none,sentiment,pronouns,pronouns
verbs_pronouns_0_s4_intervention,4,0.0,1.0,1.0,0.0,,none,verbs,pronouns,pronouns
sports_pronouns_0_s0_random_intervention,0,0.471590906381607,0.5284091234207153,1.0,0.5056818127632141,,random_intervention,sports,pronouns,pronouns
pronouns_sports_0_s0_random_intervention,0,1.0,0.0,1.0,0.2392045557498932,,random_intervention,pronouns,sports,sports
sentiment_sports_0_s0_random_intervention,0,0.0125000001862645,0.987500011920929,1.0,0.1454545557498932,,random_intervention,sentiment,sports,sports
verbs_sports_0_s0_random_intervention,0,0.0125000001862645,0.987500011920929,1.0,0.018750000745058,,random_intervention,verbs,sports,sports
sentiment_pronouns_0_s0_random_intervention,0,0.0,1.0,1.0,0.0833333358168602,,random_intervention,sentiment,pronouns,pronouns
verbs_pronouns_0_s0_random_intervention,0,0.0,1.0,1.0,0.0,,random_intervention,verbs,pronouns,pronouns
sports_pronouns_0_s1_random_intervention,1,0.2511363625526428,0.7488636374473572,1.0,0.4778409004211426,,random_intervention,sports,pronouns,pronouns
pronouns_sports_0_s1_random_intervention,1,1.0,0.0,1.0,0.0619318187236785,,random_intervention,pronouns,sports,sports
sentiment_sports_0_s1_random_intervention,1,0.8698863983154297,0.1301136463880539,0.9166666865348816,0.5653409361839294,,random_intervention,sentiment,sports,sports
verbs_sports_0_s1_random_intervention,1,0.018750000745058,0.981249988079071,1.0,0.0750000029802322,,random_intervention,verbs,sports,sports
sentiment_pronouns_0_s1_random_intervention,1,0.0,1.0,1.0,0.265625,,random_intervention,sentiment,pronouns,pronouns
verbs_pronouns_0_s1_random_intervention,1,0.0,1.0,1.0,0.0031250000465661,,random_intervention,verbs,pronouns,pronouns
sports_pronouns_0_s2_random_intervention,2,0.2909091114997864,0.7090908885002136,1.0,0.5801136493682861,,random_intervention,sports,pronouns,pronouns
pronouns_sports_0_s2_random_intervention,2,0.9596590995788574,0.0403409115970134,1.0,0.2545454502105713,,random_intervention,pronouns,sports,sports
sentiment_sports_0_s2_random_intervention,2,0.8352273106575012,0.1647727340459823,0.9166666865348816,0.2738636434078216,,random_intervention,sentiment,sports,sports
verbs_sports_0_s2_random_intervention,2,0.018750000745058,0.981249988079071,1.0,0.1835227310657501,,random_intervention,verbs,sports,sports
sentiment_pronouns_0_s2_random_intervention,2,0.0,1.0,1.0,0.359375,,random_intervention,sentiment,pronouns,pronouns
verbs_pronouns_0_s2_random_intervention,2,0.0,1.0,1.0,0.0218749996274709,,random_intervention,verbs,pronouns,pronouns
sports_pronouns_0_s3_random_intervention,3,0.7602273225784302,0.2397727221250534,1.0,0.7664772868156433,,random_intervention,sports,pronouns,pronouns
pronouns_sports_0_s3_random_intervention,3,1.0,0.0,1.0,0.3198863565921783,,random_intervention,pronouns,sports,sports
sentiment_sports_0_s3_random_intervention,3,0.9221591353416444,0.0778409168124198,1.0,0.6954545378684998,,random_intervention,sentiment,sports,sports
verbs_sports_0_s3_random_intervention,3,0.018750000745058,0.981249988079071,1.0,0.1119318231940269,,random_intervention,verbs,sports,sports
sentiment_pronouns_0_s3_random_intervention,3,0.0,1.0,1.0,0.2864583432674408,,random_intervention,sentiment,pronouns,pronouns
verbs_pronouns_0_s3_random_intervention,3,0.0,1.0,1.0,0.3802083432674408,,random_intervention,verbs,pronouns,pronouns
sports_pronouns_0_s4_random_intervention,4,0.6017045378684998,0.3982954621315002,1.0,0.6142045855522156,,random_intervention,sports,pronouns,pronouns
pronouns_sports_0_s4_random_intervention,4,1.0,0.0,1.0,0.0,,random_intervention,pronouns,sports,sports
sentiment_sports_0_s4_random_intervention,4,0.0437499992549419,0.956250011920929,1.0,0.3596591055393219,,random_intervention,sentiment,sports,sports
verbs_sports_0_s4_random_intervention,4,0.2210227251052856,0.7789773344993591,0.9166666865348816,0.1681818217039108,,random_intervention,verbs,sports,sports
sentiment_pronouns_0_s4_random_intervention,4,0.0,1.0,1.0,0.2552083432674408,,random_intervention,sentiment,pronouns,pronouns
verbs_pronouns_0_s4_random_intervention,4,0.0,1.0,1.0,0.0031250000465661,,random_intervention,verbs,pronouns,pronouns
sports_pronouns_0_s0_top_intervention,0,0.0,1.0,1.0,0.1397727280855178,,top_intervention,sports,pronouns,pronouns
pronouns_sports_0_s0_top_intervention,0,1.0,0.0,1.0,0.0528409145772457,,top_intervention,pronouns,sports,sports
sentiment_sports_0_s0_top_intervention,0,0.5193182229995728,0.4806818068027496,0.75,0.4250000119209289,,top_intervention,sentiment,sports,sports
verbs_sports_0_s0_top_intervention,0,0.7545454502105713,0.2454545497894287,1.0,0.3176136612892151,,top_intervention,verbs,sports,sports
sentiment_pronouns_0_s0_top_intervention,0,0.0,1.0,1.0,0.484375,,top_intervention,sentiment,pronouns,pronouns
verbs_pronouns_0_s0_top_intervention,0,0.0,1.0,1.0,0.3572916686534881,,top_intervention,verbs,pronouns,pronouns
sports_pronouns_0_s1_top_intervention,1,0.0,1.0,1.0,0.1897727251052856,,top_intervention,sports,pronouns,pronouns
pronouns_sports_0_s1_top_intervention,1,1.0,0.0,1.0,0.0528409145772457,,top_intervention,pronouns,sports,sports
sentiment_sports_0_s1_top_intervention,1,0.5653409361839294,0.4346590936183929,0.4166666865348816,0.5159091353416443,,top_intervention,sentiment,sports,sports
verbs_sports_0_s1_top_intervention,1,0.7170454859733582,0.2829545438289642,0.75,0.3085227310657501,,top_intervention,verbs,sports,sports
sentiment_pronouns_0_s1_top_intervention,1,0.0,1.0,1.0,0.4791666865348816,,top_intervention,sentiment,pronouns,pronouns
verbs_pronouns_0_s1_top_intervention,1,0.0,1.0,1.0,0.3979166746139526,,top_intervention,verbs,pronouns,pronouns
sports_pronouns_0_s2_top_intervention,2,0.0,1.0,1.0,0.1897727251052856,,top_intervention,sports,pronouns,pronouns
pronouns_sports_0_s2_top_intervention,2,1.0,0.0,1.0,0.0562500022351741,,top_intervention,pronouns,sports,sports
sentiment_sports_0_s2_top_intervention,2,0.5528408885002136,0.4471591114997864,0.6666666865348816,0.5062500238418579,,top_intervention,sentiment,sports,sports
verbs_sports_0_s2_top_intervention,2,0.668181836605072,0.3318181931972503,0.75,0.3329545557498932,,top_intervention,verbs,sports,sports
sentiment_pronouns_0_s2_top_intervention,2,0.0,1.0,1.0,0.4739583432674408,,top_intervention,sentiment,pronouns,pronouns
verbs_pronouns_0_s2_top_intervention,2,0.0,1.0,1.0,0.3677083551883697,,top_intervention,verbs,pronouns,pronouns
sports_pronouns_0_s3_top_intervention,3,0.0,1.0,1.0,0.1403409093618393,,top_intervention,sports,pronouns,pronouns
pronouns_sports_0_s3_top_intervention,3,1.0,0.0,1.0,0.050000000745058,,top_intervention,pronouns,sports,sports
sentiment_sports_0_s3_top_intervention,3,0.5625,0.4375,0.75,0.5528408885002136,,top_intervention,sentiment,sports,sports
