dataset_a,dataset_b,intervention,train_accuracy,val_accuracy,test_accuracy,test_accuracy_flipped,seed,dataset_pair,sorted_pair,pair
verbs,languages,none,1.0,1.0,0.006578947417438,0.9934210777282716,42,"(hc-mats/subject-verb-agreement, languages)","('verbs', 'languages')","('verbs', 'languages')"
verbs,languages,none,1.0,0.9901315569877625,0.003289473708719,0.9967105388641356,1,"(hc-mats/subject-verb-agreement, languages)","('verbs', 'languages')","('verbs', 'languages')"
verbs,languages,none,1.0,0.9967105388641356,0.013157894834876,0.9868420958518982,2,"(hc-mats/subject-verb-agreement, languages)","('verbs', 'languages')","('verbs', 'languages')"
verbs,languages,none,1.0,0.9934210777282716,0.003289473708719,0.9967105388641356,3,"(hc-mats/subject-verb-agreement, languages)","('verbs', 'languages')","('verbs', 'languages')"
verbs,languages,none,1.0,0.9967105388641356,0.006578947417438,0.9934210777282716,4,"(hc-mats/subject-verb-agreement, languages)","('verbs', 'languages')","('verbs', 'languages')"
languages,verbs,none,1.0,1.0,0.9868420958518982,0.013157894834876,42,"(languages, hc-mats/subject-verb-agreement)","('verbs', 'languages')","('languages', 'verbs')"
languages,verbs,none,1.0,0.9868420958518982,1.0,0.0,1,"(languages, hc-mats/subject-verb-agreement)","('verbs', 'languages')","('languages', 'verbs')"
languages,verbs,none,1.0,0.9934210777282716,0.9901315569877625,0.0098684206604957,2,"(languages, hc-mats/subject-verb-agreement)","('verbs', 'languages')","('languages', 'verbs')"
languages,verbs,none,1.0,1.0,0.9934210777282716,0.006578947417438,3,"(languages, hc-mats/subject-verb-agreement)","('verbs', 'languages')","('languages', 'verbs')"
languages,verbs,none,1.0,0.9934210777282716,0.9868420958518982,0.013157894834876,4,"(languages, hc-mats/subject-verb-agreement)","('verbs', 'languages')","('languages', 'verbs')"
verbs,pronouns,none,1.0,1.0,0.0,1.0,42,"(hc-mats/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,none,1.0,1.0,0.0,1.0,1,"(hc-mats/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,none,1.0,1.0,0.0,1.0,2,"(hc-mats/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,none,1.0,1.0,0.0,1.0,3,"(hc-mats/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,none,1.0,1.0,0.0,1.0,4,"(hc-mats/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
