dataset_a,dataset_b,intervention,ablated_dataset,train_accuracy,val_accuracy,val_intervention_accuracy,test_accuracy,test_accuracy_flipped,test_intervention_accuracy,test_intervention_accuracy_flipped,seed,dataset_pair,sorted_pair,pair
verbs,pronouns,sae ablation,pronouns,1.0,0.7828947305679321,1.0,0.2467105239629745,0.7532894611358643,0.0,1.0,0,"([XXX]/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,sae ablation,pronouns,1.0,0.7697368264198303,1.0,0.2149122953414917,0.7850877642631531,0.0,1.0,1,"([XXX]/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,sae ablation,pronouns,1.0,0.6546052694320679,0.5065789222717285,0.2708333432674408,0.7291666865348816,0.013157894834876,0.9868420958518982,2,"([XXX]/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,sae ablation,pronouns,1.0,0.7576754689216614,1.0,0.1896929889917373,0.8103070855140686,0.0,1.0,3,"([XXX]/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,sae ablation,pronouns,1.0,0.8157894611358643,1.0,0.1732456237077713,0.8267544507980347,0.0,1.0,4,"([XXX]/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
pronouns,verbs,sae ablation,pronouns,1.0,0.8377193212509155,1.0,0.6151315569877625,0.3848684132099152,1.0,0.0,0,"(pronouns, [XXX]/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,sae ablation,pronouns,1.0,0.7982456088066101,1.0,0.6469298601150513,0.3530701994895935,1.0,0.0,1,"(pronouns, [XXX]/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,sae ablation,pronouns,1.0,0.8070175647735596,1.0,0.702850878238678,0.297149121761322,1.0,0.0,2,"(pronouns, [XXX]/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,sae ablation,pronouns,1.0,0.8399122953414917,1.0,0.6776315569877625,0.3223684132099151,1.0,0.0,3,"(pronouns, [XXX]/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,sae ablation,pronouns,1.0,0.814693033695221,1.0,0.6666666865348816,0.3333333432674408,1.0,0.0,4,"(pronouns, [XXX]/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
verbs,sentiment,sae ablation,verbs,1.0,0.9366883635520936,0.9537338018417358,0.0227272734045982,0.9772727489471436,0.0113636367022991,0.9886363744735718,0,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,sentiment,1.0,0.9886363744735718,1.0,1.0,0.0,1.0,0.0,0,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,verbs,1.0,0.9375,0.9545454978942872,0.0625,0.9375,0.0454545468091964,0.9545454978942872,1,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,sentiment,1.0,1.0,1.0,0.994318187236786,0.0056818183511495,1.0,0.0,1,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,verbs,1.0,0.9529221653938292,0.9772727489471436,0.0511363670229911,0.948863685131073,0.0568181835114955,0.9431818723678588,2,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,sentiment,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,verbs,0.9375,0.9537338018417358,0.95941561460495,0.0738636404275894,0.9261363744735718,0.0568181835114955,0.9431818723678588,3,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,verbs,0.9375,0.9310065507888794,0.9423701763153076,0.0568181835114955,0.9431818723678588,0.0454545468091964,0.9545454978942872,4,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,sentiment,1.0,0.9829545617103576,0.994318187236786,0.9886363744735718,0.0113636367022991,0.994318187236786,0.0056818183511495,3,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,sentiment,1.0,1.0,1.0,0.994318187236786,0.0056818183511495,1.0,0.0,4,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
sentiment,verbs,sae ablation,sentiment,1.0,1.0,1.0,0.0113636367022991,0.9886363744735718,0.0113636367022991,0.9886363744735718,0,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,verbs,1.0,0.9602273106575012,0.9659091234207152,0.9261363744735718,0.0738636404275894,0.9431818723678588,0.0568181835114955,0,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,sentiment,1.0,1.0,1.0,0.0056818183511495,0.994318187236786,0.0,1.0,1,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,verbs,1.0,0.9537338018417358,0.9537338018417358,0.948863685131073,0.0511363670229911,0.9659091234207152,0.0340909101068973,1,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,sentiment,1.0,0.9886363744735718,0.9878247380256652,0.0113636367022991,0.9886363744735718,0.0,1.0,2,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,verbs,1.0,0.9545454978942872,0.9545454978942872,0.9204545617103576,0.0795454531908035,0.9090909361839294,0.0909090936183929,2,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,sentiment,1.0,0.9886363744735718,0.994318187236786,0.0113636367022991,0.9886363744735718,0.0,1.0,3,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,sentiment,1.0,1.0,1.0,0.0284090917557477,0.9715909361839294,0.0,1.0,4,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,verbs,1.0,0.9772727489471436,0.9829545617103576,0.8352273106575012,0.1647727340459823,0.8181818723678589,0.1818181872367859,3,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,verbs,1.0,0.9772727489471436,0.994318187236786,0.8977273106575012,0.1022727340459823,0.8920454978942871,0.1079545468091964,4,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
verbs,sports,sae ablation,sports,1.0,0.9937500357627868,0.9937500357627868,0.9937500357627868,0.0062500000931322,1.0,0.0,0,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
verbs,sports,sae ablation,sports,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
verbs,sports,sae ablation,sports,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
verbs,sports,sae ablation,sports,1.0,1.0,1.0,0.98333340883255,0.016666667535901,1.0,0.0,3,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
verbs,sports,sae ablation,sports,1.0,1.0,1.0,0.975000023841858,0.025000000372529,0.9937500357627868,0.0062500000931322,4,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
sports,verbs,sae ablation,sports,1.0,1.0,1.0,0.0291666686534881,0.970833420753479,0.0,1.0,0,"([XXX]/sports-gemma-2-2b-top-1000, [XXX]/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
sports,verbs,sae ablation,sports,1.0,0.987500011920929,0.987500011920929,0.018750000745058,0.981249988079071,0.0,1.0,1,"([XXX]/sports-gemma-2-2b-top-1000, [XXX]/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
sports,verbs,sae ablation,sports,1.0,1.0,1.0,0.0125000001862645,0.987500011920929,0.0,1.0,2,"([XXX]/sports-gemma-2-2b-top-1000, [XXX]/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
sports,verbs,sae ablation,sports,1.0,1.0,1.0,0.0062500000931322,0.9937500357627868,0.0,1.0,3,"([XXX]/sports-gemma-2-2b-top-1000, [XXX]/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
sports,verbs,sae ablation,sports,1.0,0.9937500357627868,0.9937500357627868,0.0125000001862645,0.987500011920929,0.0062500000931322,0.9937500357627868,4,"([XXX]/sports-gemma-2-2b-top-1000, [XXX]/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
