text,category
The $PROFESSION$ believed $PRONOUN$ could solve the challenge.,nominative
The $PROFESSION$ suspected $PRONOUN$ had identified the problem.,nominative
The $PROFESSION$ promised $PRONOUN$ would deliver results by next week.,nominative
The $PROFESSION$ understood $PRONOUN$ must adapt quickly.,nominative
The $PROFESSION$ maintained $PRONOUN$ would follow the guidelines.,nominative
The $PROFESSION$ declared $PRONOUN$ was retiring at the end of the year.,nominative
The $PROFESSION$ emphasized $PRONOUN$ would meet the goals.,nominative
The $PROFESSION$ conveyed $PRONOUN$ would implement new strategies.,nominative
The $PROFESSION$ advised $PRONOUN$ would need preparation.,nominative
The $PROFESSION$ showed $PRONOUN$ understood the concept perfectly.,nominative
The $PROFESSION$ acknowledged $PRONOUN$ would make changes.,nominative
The $PROFESSION$ recognized $PRONOUN$ should adjust the plan.,nominative
The $PROFESSION$ estimated $PRONOUN$ could meet expectations.,nominative
The $PROFESSION$ anticipated $PRONOUN$ would face challenges.,nominative
The $PROFESSION$ remarked $PRONOUN$ would finish by Friday.,nominative
The $PROFESSION$ worried $PRONOUN$ might be late for the important meeting.,nominative
The $PROFESSION$ mentioned $PRONOUN$ would evaluate options.,nominative
The $PROFESSION$ repeated $PRONOUN$ would remain committed.,nominative
The $PROFESSION$ believed $PRONOUN$ deserved recognition.,nominative
The $PROFESSION$ mentioned $PRONOUN$ would arrive early tomorrow.,nominative
The $PROFESSION$ clarified $PRONOUN$ understood directions.,nominative
The $PROFESSION$ concluded $PRONOUN$ had the right solution.,nominative
The $PROFESSION$ remembered $PRONOUN$ would bring materials.,nominative
The $PROFESSION$ voiced $PRONOUN$ would resolve conflicts.,nominative
The $PROFESSION$ explained $PRONOUN$ had developed a new method.,nominative
The $PROFESSION$ clarified $PRONOUN$ would handle the situation.,nominative
The $PROFESSION$ stated $PRONOUN$ would review the proposal carefully.,nominative
The $PROFESSION$ believed $PRONOUN$ could solve the problem quickly.,nominative
The $PROFESSION$ showed $PRONOUN$ would excel in the role.,nominative
The $PROFESSION$ showed $PRONOUN$ had expertise.,nominative
The $PROFESSION$ determined $PRONOUN$ would lead the new initiative.,nominative
The $PROFESSION$ admitted $PRONOUN$ would require more training.,nominative
The $PROFESSION$ suggested $PRONOUN$ had a better solution.,nominative
The $PROFESSION$ concluded $PRONOUN$ needed more information.,nominative
The $PROFESSION$ declared $PRONOUN$ would supervise carefully.,nominative
The $PROFESSION$ clarified $PRONOUN$ would lead the initiative.,nominative
The $PROFESSION$ agreed $PRONOUN$ would revise the document.,nominative
The $PROFESSION$ noted $PRONOUN$ would develop solutions.,nominative
The $PROFESSION$ revealed $PRONOUN$ would explore options.,nominative
The $PROFESSION$ revealed $PRONOUN$ had discovered a better method.,nominative
The $PROFESSION$ indicated $PRONOUN$ would supervise the project personally.,nominative
The $PROFESSION$ believed $PRONOUN$ should start over.,nominative
The $PROFESSION$ confirmed $PRONOUN$ had proper authorization.,nominative
The $PROFESSION$ signaled $PRONOUN$ would change direction.,nominative
The $PROFESSION$ observed $PRONOUN$ could enhance productivity.,nominative
The $PROFESSION$ suggested $PRONOUN$ could lead the new project.,nominative
The $PROFESSION$ admitted $PRONOUN$ needed more time to prepare.,nominative
The $PROFESSION$ mentioned $PRONOUN$ would be available for questions later.,nominative
The $PROFESSION$ noticed $PRONOUN$ had overlooked a detail.,nominative
The $PROFESSION$ trusted $PRONOUN$ could manage the team.,nominative
The $PROFESSION$ specified $PRONOUN$ would need more resources.,nominative
The $PROFESSION$ proclaimed $PRONOUN$ would start immediately.,nominative
The $PROFESSION$ announced $PRONOUN$ would start next week.,nominative
The $PROFESSION$ mentioned $PRONOUN$ was working on a new project.,nominative
The $PROFESSION$ indicated $PRONOUN$ would consider all options.,nominative
The $PROFESSION$ established $PRONOUN$ had met all requirements.,nominative
The $PROFESSION$ announced $PRONOUN$ would be taking a sabbatical.,nominative
The $PROFESSION$ highlighted $PRONOUN$ had found a better method.,nominative
The $PROFESSION$ advised $PRONOUN$ would recommend changes.,nominative
The $PROFESSION$ knew $PRONOUN$ would overcome obstacles.,nominative
The $PROFESSION$ decided $PRONOUN$ would restructure operations.,nominative
The $PROFESSION$ showed $PRONOUN$ could adapt to new situations.,nominative
The $PROFESSION$ showed $PRONOUN$ understood the core concepts.,nominative
The $PROFESSION$ admitted $PRONOUN$ required additional support.,nominative
The $PROFESSION$ demonstrated $PRONOUN$ could adapt to changes quickly.,nominative
The $PROFESSION$ believed $PRONOUN$ could make a difference.,nominative
The $PROFESSION$ revealed $PRONOUN$ was considering new opportunities.,nominative
The $PROFESSION$ suggested $PRONOUN$ would consider alternatives.,nominative
The $PROFESSION$ validated $PRONOUN$ would monitor progress.,nominative
The $PROFESSION$ declared $PRONOUN$ would be more transparent.,nominative
The $PROFESSION$ wished $PRONOUN$ had more resources.,nominative
The $PROFESSION$ anticipated $PRONOUN$ would find a solution.,nominative
The $PROFESSION$ stated $PRONOUN$ would begin work immediately.,nominative
