,dataset_a,dataset_b,intervention,train_accuracy,val_accuracy,val_intervention_accuracy,test_accuracy,test_accuracy_flipped,test_intervention_accuracy,test_intervention_accuracy_flipped,seed,dataset_pair,sorted_pair,pair,ablated_dataset
0,verbs,pronouns,sae ablation,1.0,0.9660088419914246,1.0,0.039473682641983,0.9605263471603394,0.0,1.0,3,"([XXX]/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')",pronouns
1,verbs,pronouns,sae ablation,1.0,0.9769737124443054,1.0,0.0230263154953718,0.9769737124443054,0.0,1.0,0,"([XXX]/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')",pronouns
2,verbs,pronouns,sae ablation,1.0,0.9660088419914246,1.0,0.0372807048261165,0.9627193808555604,0.0,1.0,4,"([XXX]/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')",pronouns
3,verbs,pronouns,sae ablation,1.0,0.970394730567932,1.0,0.0427631586790084,0.9572368264198304,0.0,1.0,1,"([XXX]/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')",pronouns
4,verbs,pronouns,sae ablation,1.0,0.9035088419914246,1.0,0.0866228118538856,0.913377285003662,0.0,1.0,2,"([XXX]/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')",pronouns
5,verbs,sentiment,sae ablation,1.0,0.7459415197372437,0.9586039781570436,0.6022727489471436,0.3977272808551788,0.8806818723678589,0.1193181872367858,3,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')",verbs
6,verbs,sentiment,sae ablation,0.9375,0.862013041973114,0.9415585398674012,0.0852272734045982,0.9147727489471436,0.0681818202137947,0.931818187236786,0,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')",verbs
7,verbs,sentiment,sae ablation,1.0,0.95941561460495,0.965097427368164,0.125,0.875,0.1079545468091964,0.8920454978942871,4,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')",verbs
8,verbs,sentiment,sae ablation,1.0,0.902597427368164,0.9204545617103576,0.1477272808551788,0.8522727489471436,0.0681818202137947,0.931818187236786,1,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')",verbs
9,verbs,sentiment,sae ablation,1.0,0.9472403526306152,0.95941561460495,0.1079545468091964,0.8920454978942871,0.0965909138321876,0.9034091234207152,2,"([XXX]/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')",verbs
10,sentiment,verbs,sae ablation,0.9375,0.8855519890785217,0.9886363744735718,0.0852272734045982,0.9147727489471436,0.0056818183511495,0.994318187236786,3,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')",sentiment
11,sentiment,verbs,sae ablation,1.0,0.7288960814476013,1.0,0.3920454680919647,0.6079545617103577,0.0,1.0,0,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')",sentiment
12,sentiment,verbs,sae ablation,1.0,0.9715909361839294,1.0,0.0511363670229911,0.948863685131073,0.0056818183511495,0.994318187236786,4,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')",sentiment
13,sentiment,verbs,sae ablation,1.0,0.8384740352630615,1.0,0.1761363744735717,0.823863685131073,0.0,1.0,1,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')",sentiment
14,sentiment,verbs,sae ablation,1.0,0.9715909361839294,0.9886363744735718,0.0568181835114955,0.9431818723678588,0.0056818183511495,0.994318187236786,2,"(sentiment, [XXX]/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')",sentiment
15,verbs,sports,sae ablation,1.0,0.6104167103767395,0.9937500357627868,0.4812500178813934,0.518750011920929,0.7416667342185974,0.2583333551883697,3,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')",sports
16,verbs,sports,sae ablation,1.0,0.8916667103767395,0.9937500357627868,0.2958333492279053,0.7041667103767395,0.25,0.75,0,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')",sports
17,verbs,sports,sae ablation,1.0,0.6020833849906921,0.9937500357627868,0.491666704416275,0.5083333849906921,0.2125000059604644,0.7875000238418579,4,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')",sports
18,verbs,sports,sae ablation,1.0,0.6895833611488342,0.975000023841858,0.5020833611488342,0.4979166984558105,0.416666716337204,0.5833333730697632,1,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')",sports
19,verbs,sports,sae ablation,1.0,0.8125,1.0,0.3937500119209289,0.606249988079071,0.2604166865348816,0.7395833730697632,2,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')",sports
20,sentiment,pronouns,sae ablation,1.0,0.9529221653938292,1.0,0.1079545468091964,0.8920454978942871,0.0,1.0,3,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')",pronouns
21,sentiment,pronouns,sae ablation,1.0,0.9764611124992372,1.0,0.1306818276643753,0.8693181872367859,0.0,1.0,0,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')",pronouns
22,sentiment,pronouns,sae ablation,1.0,0.8506494164466858,1.0,0.284090906381607,0.7159091234207153,0.0,1.0,4,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')",pronouns
23,sentiment,pronouns,sae ablation,1.0,0.9537338018417358,1.0,0.1420454531908035,0.8579545617103577,0.0,1.0,1,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')",pronouns
24,sentiment,pronouns,sae ablation,1.0,0.9829545617103576,1.0,0.0170454550534486,0.9829545617103576,0.0,1.0,2,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')",pronouns
25,pronouns,sports,sae ablation,1.0,0.7479166984558105,1.0,0.4020833671092987,0.5979167222976685,1.0,0.0,3,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')",sports
26,pronouns,sports,sae ablation,1.0,0.7666667103767395,1.0,0.4375,0.5625,1.0,0.0,0,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')",sports
27,pronouns,sports,sae ablation,1.0,0.8187500238418579,1.0,0.3020833432674408,0.6979166865348816,1.0,0.0,4,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')",sports
28,pronouns,sports,sae ablation,1.0,0.9625000357627868,1.0,0.2562499940395355,0.7437500357627869,1.0,0.0,1,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')",sports
29,pronouns,sports,sae ablation,1.0,0.7645833492279053,1.0,0.3812499940395355,0.6187500357627869,1.0,0.0,2,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')",sports
30,sports,pronouns,sae ablation,1.0,1.0,1.0,0.1187499985098838,0.8812500238418579,0.0,1.0,3,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')",pronouns
31,sports,pronouns,sae ablation,1.0,1.0,1.0,0.1541666835546493,0.845833420753479,0.0,1.0,0,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')",pronouns
32,sports,pronouns,sae ablation,1.0,0.975000023841858,1.0,0.2437500059604644,0.7562500238418579,0.0,1.0,4,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')",pronouns
33,sports,pronouns,sae ablation,1.0,0.9937500357627868,1.0,0.0958333387970924,0.9041666984558104,0.0,1.0,1,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')",pronouns
