seed,wb_run_group,test_accuracy,test_accuracy_flipped,deployed_accuracy,deployed_accuracy_flipped,intervention,dataset_a,dataset_b,ablated_dataset,pair
0,sentiment_pronouns_0,0.0104166669771075,0.9895833730697632,0.0104166669771075,0.9895833730697632,base,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
0,verbs_sentiment_0,0.109375,0.890625,0.109375,0.890625,base,verbs,sentiment,sentiment,"('verbs', 'sentiment')"
0,sentiment_verbs_0,0.7760416865348816,0.2239583432674408,0.7760416865348816,0.2239583432674408,base,sentiment,verbs,verbs,"('sentiment', 'verbs')"
0,verbs_pronouns_0,0.0,1.0,0.0,1.0,base,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
0,sports_pronouns_0,0.0,1.0,0.0,1.0,base,sports,pronouns,pronouns,"('sports', 'pronouns')"
0,sports_verbs_0,0.8295454382896423,0.1704545468091964,0.8295454382896423,0.1704545468091964,base,sports,verbs,verbs,"('sports', 'verbs')"
0,pronouns_sports_0,0.931818187236786,0.0681818202137947,0.931818187236786,0.0681818202137947,base,pronouns,sports,sports,"('pronouns', 'sports')"
0,sports_sentiment_0,0.7517045736312866,0.2482954561710357,0.7517045736312866,0.2482954561710357,base,sports,sentiment,sentiment,"('sports', 'sentiment')"
0,sentiment_sports_0,0.179545447230339,0.8204545974731445,0.179545447230339,0.8204545974731445,base,sentiment,sports,sports,"('sentiment', 'sports')"
0,pronouns_verbs_0,1.0,0.0,1.0,0.0,base,pronouns,verbs,verbs,"('pronouns', 'verbs')"
0,verbs_sports_0,0.0556818209588527,0.9443182349205016,0.0556818209588527,0.9443182349205016,base,verbs,sports,sports,"('verbs', 'sports')"
0,pronouns_sentiment_0,1.0,0.0,1.0,0.0,base,pronouns,sentiment,sentiment,"('pronouns', 'sentiment')"
