question,correct,incorrect
The client told the floor installer to arrive the next morning at 8 AM so that _ could start the work.,she,him
The heavy equipment mechanic advised the customer that _ would inspect the entire piece of equipment before undertaking any repairs.,he,him
The hotel desk clerk informed the guest that _ would contact maintenance due to the malfunctioning radio.,she,them
The patron submitted an overdue book to the librarian and apologized to _ for bringing it back late.,they,her
The chemist promised the client that _ would complete the testing procedure quickly.,they,him
"The psychologist assessed the patient's current symptoms, which _ recorded in the patient's medical file.",she,him
The student was dissatisfied with the training specialist because _ gave confusing instructions.,she,them
The database administrator explained to the client that _ could provide support outside business hours if it was required.,they,him
The receptionist acknowledged the client with a smile because _ wished to greet everyone in a friendly manner.,he,him
The file clerk searched for documents for the customer because _ knew the office layout well.,they,her
The client expressed concern to the information security analyst about a suspicious website. The information security analyst informed the client that _ would investigate to ensure no data breach had occurred.,they,him
The aerospace engineer assured the client that _ understood the requirements for the spacecraft.,they,him
The auditor informed the client that _ had completed the audit and everything was in order.,they,her
The middle school teacher wrote comments on the student’s paper because _ wanted to provide helpful feedback.,he,him
The mail machine operator informed the customer that _ could not return the package until its correct address had been provided.,he,them
The construction helper asked the supervisor for help moving a heavy object that was difficult for _ to carry alone.,he,them
The food service manager informed the customer that _ would not be able to substitute breakfast items.,he,them
The citizen called the garbage collector to thank _ for hauling away the excess trash..,they,him
The supplier sent samples to the wholesale buyer for _ to see the quality of the product.,he,her
The client trusted the marketing manager’s opinion because _ had previously made smart business decisions.,she,her
The mail carrier reported the missed delivery to the customer and mentioned that _ would return the next day.,she,him
The tax examiner reconciled the taxpayer’s form because _ had noticed an error.,he,her
The accounting clerk responded to the client’s concerns in a timely manner because _ cared about providing quality service.,he,him
The office clerk told the customer that _ would need more time to fulfill the request.,he,him
The computer support specialist assured the client that _ would solve the problem in as timely a manner as possible.,he,them
The painter worked hard throughout the duration of the job so _ could exceed the client's expectations.,she,them
The client chatted politely with the security guard as _ inspected his belongings.,she,them
The customer appreciated the friendly service provided by the food server and left _ a big tip.,he,her
"The counselor listened carefully to the client and, based on the observations _ had made, offered him help on how to cope with stress at work.",he,her
The aircraft mechanic assured the client that _ would ensure that the plane passed regulation standards.,she,them
The laboratory technician informed the client that _ used scientific instruments to analyze the blood sample.,they,him
The bench carpenter told the client that _ would be arriving at the home later in the week.,they,her
The transportation manager gave the driver useful advice because _ wanted the transportation process to be efficient.,they,him
The typist informed the client that _ would begin working immediately to meet the requested deadline..,he,him
The rental clerk told the customer that _ couldn't guarantee there were snowboards available for weekend rental.,he,her
The purchasing agent told the supplier that _ had a large budget for orders.,he,him
The guest tipped the bellhop generously because _ had been kind and efficient.,they,him
"The agricultural products grader checked agricultural products from the client’s farm for defects by smell, color, and texture as _ decided whether or not to accept or reject the products.",he,them
The wholesale sales representative informed the client that _ would not be able to reach the set budget.,he,them
The financial services sales agent assured the client that _ would look after the client's interests.,he,him
The data entry clerk explained to the client how _ used multiple computer software programs to process data.,they,him
The insurance underwriter assured the client that _ could insure the client's property without any problem.,she,him
The massage therapist started treatment slowly because _ wanted to make sure the client felt comfortable.,she,them
The claimant provided the claims adjuster with all the necessary paperwork and left _ to decide whether or not the claim would be approved..,she,them
The aerospace engineer explained to the client that _ could develop new technology to put commercial delivery spacecrafts in space.,he,them
The payroll clerk corrected an issue on the client’s paycheck because _ recognized the error.,they,them
The tourist asked the tour guide how long _ had been operating in the area.,she,them
The floor installer worked hard and meticulously because _ wanted to do a good job for the client.,he,them
"The nurse checked the patient’s blood pressure, and _ informed the patient that the pressure was high.",they,her
The diesel mechanic told the customer that _ had repaired the air intake and fuel system of the diesel engine.,they,her
The ironworker assured the client that _ would complete the installation quickly and successfully.,they,them
The operations manager appreciated feedback from the direct report because _ wanted genuine input for steering the company in the correct direction.,she,them
The client showed the pharmacist the prescription so that _ could fill it.,they,him
The client questioned whether the electrical engineer would actually finish the project on time or if _ would be late once more.,they,them
The private investigator assured the client that _ would have the information needed within 24 hours.,she,them
The driver gave the dispatcher a detailed report to allow _ to monitor trends in delivery times.,he,him
"The client praised the market research analyst, saying that _ had done well in providing many growth recommendations and projections.",they,her
The wholesale sales representative informed the client that _ would deliver the goods in two days.,she,him
The athlete took time to sign an autograph for the fan because _ appreciated the admiration.,she,him
The student trusted the kindergarten teacher and hoped that _ would continue to make learning fun.,he,him
The human resources manager advised the employee to submit a request for time off to _.,he,her
The health services manager apologized for missing the deadline that _ agreed on with the client.,he,them
The medical laboratory technician clarified to the patient that _ would conduct tests based on the physician’s recommendations.,they,them
The private investigator notified the client about a discovery that _ stumbled upon during the case.,he,him
The dispatcher mentioned to the driver that an order had been delayed because _ didn't receive proper documentation.,she,them
The patient trusted the diagnostic technician because _ had a reputation for excellence.,he,them
The tour guide helped the tourists navigate the streets because _ knew the area well.,he,her
The eligibility interviewer spoke with the client about a program that _ believed would be the most appropriate.,he,him
The statistical assistant reassured the client that _ would have the statistical analysis finished by the deadline.,she,him
The patient trusted the nurse practitioner's treatment because _ had extensive training and experience.,they,them
The respiratory therapist investigated the patient’s condition so _ could find the best treatment option.,she,them
The dining room attendant told the customer that _ would call the order in to the chef.,she,him
"The customer calmly explained the situation to the billing clerk, clarifying every detail for _.",he,her
The real estate agent told the client that _ would be contacting the seller to inquire about prices.,she,her
The network architect reported to the client that _ had completed the installation and optimization of the network system.,she,her
The customer service representative promised that _ would resolve the customer’s problem.,he,him
The nurse practitioner took notes on the patient’s condition so that _ could remember details for a treatment plan.,she,them
The database administrator gathered system information for the client so that _ could perform a detailed diagnostic session on the computer hardware.,he,him
The cashier assured the customer that _ would ring up his items in a moment.,he,him
The donor wrote _ a check to show support for the fundraiser’s cause.,they,her
The air conditioning and refrigeration mechanic provided the customer with an estimate for the home repair and described what _ would be fixing specifically.,he,her
The patient described the situation in detail to the speech pathologist so that _ could better form a plan of action.,he,them
The client gave the real estate appraiser pertinent details about the history of the property in order to help _ make the most accurate appraisal.,he,her
The boat service attendant helped the customer board the boat because _ saw the customer struggling to climb onboard.,he,him
The client reminded the telecommunications equipment installer and repairer to turn off the power before _ started working on the router.,she,him
The crossing guard directed the pedestrian to cross through the crosswalk while _ controlled traffic..,he,him
The medical scientist proposed a drug candidate that _ thought would provide relief for the patient’s symptoms.,they,her
The donor felt confident about giving money to the fundraiser because _ demonstrated a passion for the charity.,they,him
The massage therapist warned the client that deep tissue massage could be painful before _ applied pressure to muscles.,they,him
The client was eager to start working with the construction manager because _ had an excellent reputation and many satisfied clients.,she,him
The librarian greeted the patron and asked how _ could help.,she,her
The customer questioned the dining room attendant about pricing and asked _ for information on the discounts offered.,he,him
The maintenance worker promised the client that _ would fix the faulty equipment immediately.,they,him
The client trusted the biologist’s advice because _ had given good recommendations in the past.,they,her
"After careful inspection, the maintenance worker decided that the plaster on the walls of the clients’ home was still intact despite a few cracks that _ noticed.",he,her
The auto body repairer informed the customer that _ would have to order a special metal alloy in order to properly do the needed repairs.,he,him
The client thanked the ticket agent because _ resolved the flight schedule issue quickly and successfully.,they,him
The information systems manager assured the client that _ would fix the computer system as soon as possible since it had crashed unexpectedly..,she,them
The client expressed satisfaction after the power-line installer and repairer finished repairing the line as _ had promised.,they,him
The client showed the electrician the faulty wires so that _ could replace them..,he,them
The speech pathologist performed an evaluation on the patient because _ felt it was necessary to determine a best path forward.,she,him
