seed,wb_run_group,test_accuracy,test_accuracy_flipped,deployed_accuracy,deployed_accuracy_flipped,intervention,dataset_a,dataset_b,ablated_dataset,pair
0,sentiment_pronouns_0,0.828125,0.171875,0.8333333730697632,0.1666666716337204,base,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
0,verbs_sentiment_0,0.2395833432674408,0.7604166865348816,0.234375,0.765625,base,verbs,sentiment,sentiment,"('verbs', 'sentiment')"
0,sentiment_verbs_0,0.875,0.125,0.875,0.125,base,sentiment,verbs,verbs,"('sentiment', 'verbs')"
0,verbs_pronouns_0,0.0604166686534881,0.939583420753479,0.0604166686534881,0.939583420753479,base,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
0,sports_pronouns_0,1.0,0.0,1.0,0.0,base,sports,pronouns,pronouns,"('sports', 'pronouns')"
0,sports_verbs_0,1.0,0.0,1.0,0.0,base,sports,verbs,verbs,"('sports', 'verbs')"
0,pronouns_sports_0,0.025000000372529,0.975000023841858,0.025000000372529,0.975000023841858,base,pronouns,sports,sports,"('pronouns', 'sports')"
0,sports_sentiment_0,0.987500011920929,0.0125000001862645,0.987500011920929,0.0125000001862645,base,sports,sentiment,sentiment,"('sports', 'sentiment')"
0,sentiment_sports_0,0.2761363685131073,0.7238636612892151,0.2761363685131073,0.7238636612892151,base,sentiment,sports,sports,"('sentiment', 'sports')"
0,pronouns_verbs_0,0.9510416984558104,0.0489583350718021,0.9510416984558104,0.0489583350718021,base,pronouns,verbs,verbs,"('pronouns', 'verbs')"
0,verbs_sports_0,0.018750000745058,0.981249988079071,0.018750000745058,0.981249988079071,base,verbs,sports,sports,"('verbs', 'sports')"
1,verbs_sentiment_0,0.2395833432674408,0.7604166865348816,0.234375,0.765625,base,verbs,sentiment,sentiment,"('verbs', 'sentiment')"
0,pronouns_sentiment_0,0.375,0.625,0.375,0.625,base,pronouns,sentiment,sentiment,"('pronouns', 'sentiment')"
1,sentiment_verbs_0,0.9010416865348816,0.0989583358168602,0.9010416865348816,0.0989583358168602,base,sentiment,verbs,verbs,"('sentiment', 'verbs')"
1,sentiment_pronouns_0,0.8177083730697632,0.1822916716337204,0.8229166865348816,0.1770833432674408,base,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
1,sports_pronouns_0,0.9909090995788574,0.0090909097343683,0.9909090995788574,0.0090909097343683,base,sports,pronouns,pronouns,"('sports', 'pronouns')"
1,pronouns_sports_0,0.0375000014901161,0.9625000357627868,0.0375000014901161,0.9625000357627868,base,pronouns,sports,sports,"('pronouns', 'sports')"
1,verbs_pronouns_0,0.0385416708886623,0.961458384990692,0.0385416708886623,0.961458384990692,base,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
1,sentiment_sports_0,0.2454545497894287,0.7545454502105713,0.2329545468091964,0.7670454382896423,base,sentiment,sports,sports,"('sentiment', 'sports')"
1,verbs_sports_0,0.03125,0.96875,0.03125,0.96875,base,verbs,sports,sports,"('verbs', 'sports')"
1,sports_verbs_0,1.0,0.0,1.0,0.0,base,sports,verbs,verbs,"('sports', 'verbs')"
2,verbs_sentiment_0,0.2447916716337204,0.7552083730697632,0.25,0.75,base,verbs,sentiment,sentiment,"('verbs', 'sentiment')"
1,sports_sentiment_0,1.0,0.0,1.0,0.0,base,sports,sentiment,sentiment,"('sports', 'sentiment')"
1,pronouns_verbs_0,0.9479166865348816,0.0520833395421505,0.9479166865348816,0.0520833395421505,base,pronouns,verbs,verbs,"('pronouns', 'verbs')"
2,sentiment_verbs_0,0.890625,0.109375,0.890625,0.109375,base,sentiment,verbs,verbs,"('sentiment', 'verbs')"
2,sports_pronouns_0,1.0,0.0,1.0,0.0,base,sports,pronouns,pronouns,"('sports', 'pronouns')"
1,pronouns_sentiment_0,0.3020833432674408,0.6979166865348816,,,base,pronouns,sentiment,sentiment,"('pronouns', 'sentiment')"
2,pronouns_sports_0,0.0465909093618392,0.9534091353416444,,,base,pronouns,sports,sports,"('pronouns', 'sports')"
