dataset_a,dataset_b,interpretation,intervention,ablated_dataset,train_accuracy,val_accuracy,val_intervention_accuracy,test_accuracy,test_accuracy_flipped,test_intervention_accuracy,test_intervention_accuracy_flipped,seed,dataset_pair,sorted_pair
SVA,pronouns,auto,sae ablation,pronouns,1.0,0.9638158082962036,1.0,0.04276315867900848,0.9572368264198304,0.0,1.0,42,"([XXX]/subject-verb-agreement, pronouns)","('SVA', 'pronouns')"
SVA,pronouns,auto,sae ablation,pronouns,1.0,0.9506579041481018,1.0,0.04276315867900848,0.9572368264198304,0.0,1.0,1,"([XXX]/subject-verb-agreement, pronouns)","('SVA', 'pronouns')"
SVA,pronouns,auto,sae ablation,pronouns,1.0,0.862938642501831,1.0,0.13486842811107635,0.8651315569877625,0.0,1.0,2,"([XXX]/subject-verb-agreement, pronouns)","('SVA', 'pronouns')"
SVA,pronouns,auto,sae ablation,pronouns,1.0,0.9342105388641356,1.0,0.04276315867900848,0.9572368264198304,0.0,1.0,3,"([XXX]/subject-verb-agreement, pronouns)","('SVA', 'pronouns')"
SVA,pronouns,auto,sae ablation,pronouns,1.0,0.939693033695221,1.0,0.0625,0.9375,0.0,1.0,4,"([XXX]/subject-verb-agreement, pronouns)","('SVA', 'pronouns')"
pronouns,SVA,auto,sae ablation,pronouns,1.0,0.550438642501831,1.0,0.44078949093818665,0.5592105388641357,1.0,0.0,42,"(pronouns, [XXX]/subject-verb-agreement)","('SVA', 'pronouns')"
pronouns,SVA,auto,sae ablation,pronouns,1.0,0.5285087823867798,1.0,0.43969300389289856,0.5603070259094238,1.0,0.0,1,"(pronouns, [XXX]/subject-verb-agreement)","('SVA', 'pronouns')"
pronouns,SVA,auto,sae ablation,pronouns,1.0,0.5263158082962036,1.0,0.4517544209957123,0.5482456088066101,1.0,0.0,2,"(pronouns, [XXX]/subject-verb-agreement)","('SVA', 'pronouns')"
pronouns,SVA,auto,sae ablation,pronouns,1.0,0.581140398979187,1.0,0.4451754689216614,0.5548245906829834,1.0,0.0,3,"(pronouns, [XXX]/subject-verb-agreement)","('SVA', 'pronouns')"
pronouns,SVA,auto,sae ablation,pronouns,1.0,0.5668860077857971,1.0,0.4660087823867798,0.533991277217865,1.0,0.0,4,"(pronouns, [XXX]/subject-verb-agreement)","('SVA', 'pronouns')"
SVA,sentiment,auto,sae ablation,SVA,0.5625,0.5462661981582642,0.5227273106575012,0.47159093618392944,0.5284091234207153,0.5170454978942871,0.48295456171035767,42,"([XXX]/subject-verb-agreement, sentiment)","('SVA', 'sentiment')"
SVA,sentiment,auto,sae ablation,SVA,0.6875,0.5284091234207153,0.5673701763153076,0.4943181872367859,0.5056818127632141,0.5284091234207153,0.47159093618392944,1,"([XXX]/subject-verb-agreement, sentiment)","('SVA', 'sentiment')"
