seed,wb_run_group,test_accuracy,test_accuracy_flipped,deployed_accuracy,deployed_accuracy_flipped,which,intervention,dataset_a,dataset_b,ablated_dataset,pair
0,verbs_sentiment_1,0.078125,0.921875,0.078125,0.921875,sae,autointerp,verbs,sentiment,verbs,"('verbs', 'sentiment')"
0,sports_pronouns_0,0.5210227370262146,0.4789772927761078,0.3784091174602508,0.6215909123420715,sae,autointerp,sports,pronouns,pronouns,"('sports', 'pronouns')"
0,sentiment_sports_0,0.5801136493682861,0.4198863506317138,0.2892045676708221,0.7107954621315002,sae,autointerp,sentiment,sports,sports,"('sentiment', 'sports')"
0,verbs_sports_0,1.0,0.0,1.0,0.0,sae,autointerp,verbs,sports,sports,"('verbs', 'sports')"
0,pronouns_sports_0,1.0,0.0,1.0,0.0,sae,autointerp,pronouns,sports,sports,"('pronouns', 'sports')"
0,sentiment_pronouns_0,0.020833333954215,0.9791666865348816,0.0572916679084301,0.9427083730697632,sae,autointerp,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
0,sentiment_verbs_1,0.0,1.0,0.0052083334885537,0.9947916865348816,sae,autointerp,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
0,verbs_pronouns_0,0.0,1.0,0.158333346247673,0.8416666984558105,sae,autointerp,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
1,verbs_sentiment_1,0.0625,0.9375,0.0677083358168602,0.9322916865348816,sae,autointerp,verbs,sentiment,verbs,"('verbs', 'sentiment')"
1,sentiment_sports_0,0.5857954621315002,0.4142045676708221,0.3011363446712494,0.698863685131073,sae,autointerp,sentiment,sports,sports,"('sentiment', 'sports')"
1,verbs_sports_0,1.0,0.0,0.987500011920929,0.0125000001862645,sae,autointerp,verbs,sports,sports,"('verbs', 'sports')"
1,sports_pronouns_0,0.6045454740524292,0.3954545557498932,0.4250000119209289,0.574999988079071,sae,autointerp,sports,pronouns,pronouns,"('sports', 'pronouns')"
1,sentiment_pronouns_0,0.0104166669771075,0.9895833730697632,0.0677083358168602,0.9322916865348816,sae,autointerp,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
1,pronouns_sports_0,1.0,0.0,1.0,0.0,sae,autointerp,pronouns,sports,sports,"('pronouns', 'sports')"
1,verbs_pronouns_0,0.0,1.0,0.1322916746139526,0.8677083849906921,sae,autointerp,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
1,sentiment_verbs_1,0.0,1.0,0.0052083334885537,0.9947916865348816,sae,autointerp,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
2,sentiment_sports_0,0.6738636493682861,0.3261363506317138,0.4943182170391083,0.5056818127632141,sae,autointerp,sentiment,sports,sports,"('sentiment', 'sports')"
2,verbs_sports_0,1.0,0.0,1.0,0.0,sae,autointerp,verbs,sports,sports,"('verbs', 'sports')"
2,verbs_sentiment_1,0.0677083358168602,0.9322916865348816,0.0677083358168602,0.9322916865348816,sae,autointerp,verbs,sentiment,verbs,"('verbs', 'sentiment')"
2,sentiment_pronouns_0,0.0364583358168602,0.9635416865348816,0.125,0.875,sae,autointerp,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
2,sports_pronouns_0,0.6954545378684998,0.3045454621315002,0.5306817889213562,0.4693182110786438,sae,autointerp,sports,pronouns,pronouns,"('sports', 'pronouns')"
2,verbs_pronouns_0,0.0,1.0,0.1447916775941848,0.8552083969116211,sae,autointerp,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
2,pronouns_sports_0,1.0,0.0,0.987500011920929,0.0125000001862645,sae,autointerp,pronouns,sports,sports,"('pronouns', 'sports')"
2,sentiment_verbs_1,0.0,1.0,0.0260416679084301,0.9739583730697632,sae,autointerp,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
0,verbs_sentiment_1,1.0,0.0,0.8385416865348816,0.1614583432674408,pca,autointerp,verbs,sentiment,verbs,"('verbs', 'sentiment')"
0,sentiment_sports_0,0.1460227221250534,0.8539773225784302,0.3318181931972503,0.6340909004211426,pca,autointerp,sentiment,sports,sports,"('sentiment', 'sports')"
0,verbs_sports_0,0.0125000001862645,0.987500011920929,0.0062500000931322,0.9937500357627868,pca,autointerp,verbs,sports,sports,"('verbs', 'sports')"
0,sports_pronouns_0,0.4505681991577149,0.5494318008422852,0.46875,0.53125,pca,autointerp,sports,pronouns,pronouns,"('sports', 'pronouns')"
0,sentiment_pronouns_0,0.0,1.0,0.0104166669771075,0.9895833730697632,pca,autointerp,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
0,verbs_pronouns_0,0.0,1.0,0.0,1.0,pca,autointerp,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
0,pronouns_sports_0,1.0,0.0,0.1085227280855178,0.1642045527696609,pca,autointerp,pronouns,sports,sports,"('pronouns', 'sports')"
0,sentiment_verbs_1,0.1197916716337204,0.8802083730697632,0.3854166865348816,0.6145833730697632,pca,autointerp,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
1,sentiment_sports_0,0.0653409138321876,0.9346591234207152,0.1590909212827682,0.8409091234207153,pca,autointerp,sentiment,sports,sports,"('sentiment', 'sports')"
1,verbs_sports_0,0.0590909123420715,0.9409090876579284,0.03125,0.96875,pca,autointerp,verbs,sports,sports,"('verbs', 'sports')"
1,verbs_sentiment_1,1.0,0.0,0.8333333730697632,0.1666666716337204,pca,autointerp,verbs,sentiment,verbs,"('verbs', 'sentiment')"
1,sentiment_pronouns_0,0.0,1.0,0.0,1.0,pca,autointerp,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
1,verbs_pronouns_0,0.0,1.0,0.0,1.0,pca,autointerp,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
1,sports_pronouns_0,0.2573863565921783,0.742613673210144,0.2573863565921783,0.742613673210144,pca,autointerp,sports,pronouns,pronouns,"('sports', 'pronouns')"
1,pronouns_sports_0,1.0,0.0,0.1403409093618393,0.4159091114997864,pca,autointerp,pronouns,sports,sports,"('pronouns', 'sports')"
2,sentiment_sports_0,0.1738636344671249,0.8261364102363586,0.3159091174602508,0.6409091353416443,pca,autointerp,sentiment,sports,sports,"('sentiment', 'sports')"
