question,correct,incorrect,__index_level_0__
Choose the correct verb form for the following sentence: The uncles behind the dogs,do,does,0
Choose the correct verb form for the following sentence: The kids near the bikes,are,is,2
Choose the correct verb form for the following sentence: The men near the chair,do,does,3
Choose the correct verb form for the following sentence: The woman behind the windows,is,are,4
Choose the correct verb form for the following sentence: The doctor beside the desk,goes,go,5
Choose the correct verb form for the following sentence: The singer near the bike,is,are,6
Choose the correct verb form for the following sentence: The teachers beside the table,have,has,7
Choose the correct verb form for the following sentence: The singer behind the tables,has,have,8
Choose the correct verb form for the following sentence: The men behind the desk,do,does,9
Choose the correct verb form for the following sentence: The poets behind the cats,are,is,10
Choose the correct verb form for the following sentence: The doctors beside the dogs,do,does,11
Choose the correct verb form for the following sentence: The guy beside the bike,is,are,12
Choose the correct verb form for the following sentence: The guys behind the bike,do,does,13
Choose the correct verb form for the following sentence: The woman beside the dog,goes,go,14
Choose the correct verb form for the following sentence: The teacher near the dog,is,are,15
Choose the correct verb form for the following sentence: The singer behind the table,goes,go,16
Choose the correct verb form for the following sentence: The guy near the cats,has,have,17
Choose the correct verb form for the following sentence: The poet beside the cat,does,do,18
Choose the correct verb form for the following sentence: The father near the chair,does,do,19
Choose the correct verb form for the following sentence: The kid near the desk,goes,go,20
Choose the correct verb form for the following sentence: The athlete behind the chairs,is,are,21
Choose the correct verb form for the following sentence: The boy beside the cat,does,do,22
Choose the correct verb form for the following sentence: The fathers near the tables,do,does,23
Choose the correct verb form for the following sentence: The man near the car,does,do,24
Choose the correct verb form for the following sentence: The boys near the dogs,are,is,25
Choose the correct verb form for the following sentence: The aunt near the dog,goes,go,26
Choose the correct verb form for the following sentence: The doctor behind the truck,has,have,27
Choose the correct verb form for the following sentence: The aunts near the desk,have,has,28
Choose the correct verb form for the following sentence: The victims behind the bike,go,goes,29
Choose the correct verb form for the following sentence: The boys behind the bike,are,is,30
Choose the correct verb form for the following sentence: The girls beside the dogs,go,goes,31
Choose the correct verb form for the following sentence: The boys behind the window,do,does,32
Choose the correct verb form for the following sentence: The kids beside the cars,are,is,33
Choose the correct verb form for the following sentence: The girl near the cat,goes,go,34
Choose the correct verb form for the following sentence: The guy beside the tree,is,are,35
Choose the correct verb form for the following sentence: The poets beside the cats,are,is,36
Choose the correct verb form for the following sentence: The kids near the desks,are,is,37
Choose the correct verb form for the following sentence: The doctor beside the trucks,goes,go,38
Choose the correct verb form for the following sentence: The lawyers behind the chair,do,does,39
Choose the correct verb form for the following sentence: The friends near the cars,do,does,40
Choose the correct verb form for the following sentence: The mothers beside the car,go,goes,41
Choose the correct verb form for the following sentence: The man behind the desk,is,are,42
Choose the correct verb form for the following sentence: The boy near the cars,goes,go,43
Choose the correct verb form for the following sentence: The farmer beside the tree,has,have,44
Choose the correct verb form for the following sentence: The carpenter near the cat,does,do,45
Choose the correct verb form for the following sentence: The guys near the dog,have,has,46
Choose the correct verb form for the following sentence: The athletes behind the cars,have,has,47
Choose the correct verb form for the following sentence: The teacher near the chairs,goes,go,48
Choose the correct verb form for the following sentence: The women near the window,do,does,49
Choose the correct verb form for the following sentence: The woman near the cats,is,are,50
Choose the correct verb form for the following sentence: The athletes beside the dogs,are,is,51
Choose the correct verb form for the following sentence: The doctor near the cars,goes,go,52
Choose the correct verb form for the following sentence: The teacher beside the cat,has,have,53
Choose the correct verb form for the following sentence: The singer behind the windows,has,have,54
Choose the correct verb form for the following sentence: The lawyers behind the cars,are,is,55
Choose the correct verb form for the following sentence: The man beside the dogs,is,are,56
Choose the correct verb form for the following sentence: The farmers beside the cats,go,goes,57
Choose the correct verb form for the following sentence: The carpenters behind the tree,have,has,58
Choose the correct verb form for the following sentence: The athlete behind the cars,goes,go,59
Choose the correct verb form for the following sentence: The women near the cats,do,does,60
Choose the correct verb form for the following sentence: The friend beside the desks,does,do,61
Choose the correct verb form for the following sentence: The singer behind the dogs,goes,go,62
Choose the correct verb form for the following sentence: The uncle behind the bike,is,are,63
Choose the correct verb form for the following sentence: The athletes near the trucks,are,is,64
Choose the correct verb form for the following sentence: The poet behind the chairs,goes,go,65
Choose the correct verb form for the following sentence: The aunts beside the cars,do,does,66
Choose the correct verb form for the following sentence: The poets behind the trees,have,has,67
Choose the correct verb form for the following sentence: The victim beside the desk,is,are,68
Choose the correct verb form for the following sentence: The fathers behind the cats,are,is,69
Choose the correct verb form for the following sentence: The friends beside the cats,have,has,70
Choose the correct verb form for the following sentence: The mother near the trucks,does,do,71
Choose the correct verb form for the following sentence: The men behind the desks,go,goes,73
Choose the correct verb form for the following sentence: The carpenter near the window,does,do,74
Choose the correct verb form for the following sentence: The carpenters near the bike,go,goes,75
Choose the correct verb form for the following sentence: The singer beside the chair,goes,go,76
Choose the correct verb form for the following sentence: The athlete near the trucks,is,are,77
Choose the correct verb form for the following sentence: The father beside the table,does,do,78
Choose the correct verb form for the following sentence: The lawyer beside the cat,goes,go,79
Choose the correct verb form for the following sentence: The fathers near the windows,do,does,80
Choose the correct verb form for the following sentence: The victims beside the tables,are,is,81
Choose the correct verb form for the following sentence: The lawyer near the desk,is,are,82
Choose the correct verb form for the following sentence: The man near the cat,does,do,83
Choose the correct verb form for the following sentence: The carpenter beside the window,is,are,86
Choose the correct verb form for the following sentence: The doctor beside the window,does,do,87
Choose the correct verb form for the following sentence: The boy behind the chair,does,do,88
Choose the correct verb form for the following sentence: The singers behind the bike,go,goes,89
Choose the correct verb form for the following sentence: The victim behind the trees,is,are,90
Choose the correct verb form for the following sentence: The lawyers beside the truck,are,is,91
Choose the correct verb form for the following sentence: The victims beside the car,do,does,92
Choose the correct verb form for the following sentence: The girl beside the bikes,goes,go,93
Choose the correct verb form for the following sentence: The men near the windows,are,is,95
Choose the correct verb form for the following sentence: The carpenters beside the trucks,are,is,96
Choose the correct verb form for the following sentence: The friend beside the desk,does,do,97
Choose the correct verb form for the following sentence: The girls beside the table,are,is,98
Choose the correct verb form for the following sentence: The kids beside the chair,go,goes,99
Choose the correct verb form for the following sentence: The uncle near the window,does,do,100
Choose the correct verb form for the following sentence: The girl behind the window,does,do,101
Choose the correct verb form for the following sentence: The mothers beside the bikes,have,has,102
Choose the correct verb form for the following sentence: The girls behind the bikes,are,is,104
Choose the correct verb form for the following sentence: The man behind the truck,does,do,105
Choose the correct verb form for the following sentence: The poet beside the trees,has,have,106
Choose the correct verb form for the following sentence: The girls beside the cats,do,does,107
Choose the correct verb form for the following sentence: The friend near the desk,does,do,108
Choose the correct verb form for the following sentence: The guy near the tables,goes,go,110
Choose the correct verb form for the following sentence: The lawyers beside the chairs,do,does,111
Choose the correct verb form for the following sentence: The kids behind the trees,are,is,112
Choose the correct verb form for the following sentence: The teacher behind the trucks,does,do,113
Choose the correct verb form for the following sentence: The men near the truck,have,has,114
Choose the correct verb form for the following sentence: The girl near the chair,is,are,115
Choose the correct verb form for the following sentence: The woman near the tree,does,do,116
